time,ammeter_CS1,ammeter_PFP1,flux_loop_1,flux_loop_2,flux_loop_8
0.532,11421.427,-0.8105082,0.12387035,0.12816411,-5.5225777e-05
0.533,11444.973,1.4362539,0.12446241,0.12902994,-8.591944e-05
0.534,11469.885,-0.070612006,0.124992855,0.12986687,-8.590039e-05
0.535,11495.748,-0.63491166,0.12543863,0.13073263,-8.581223e-05
0.5359999999999999,11519.128,-1.5341817,0.12611254,0.13119441,0.00034139733
0.5369999999999999,11542.95,-1.797057,0.12634848,0.13136764,0.00040242574
0.5379999999999999,11568.957,-1.1099763,0.12649529,0.13110799,0.00040247082
0.5389999999999999,11596.178,-0.7226665,0.12658376,0.13073294,0.0003414329
0.5399999999999999,11627.148,0.9035492,0.12655465,0.13012703,0.000280369
0.5409999999999999,11651.785,-0.19699185,0.12649618,0.12943044,0.0001887786
0.5419999999999999,11675.704,0.6078361,0.12631765,0.1286266,0.00012786245
0.5429999999999999,11694.671,0.054196984,0.12602359,0.12790528,0.00018883863
0.5439999999999999,11713.261,0.9947855,0.12570415,0.12706852,0.00024986666
0.5449999999999999,11735.482,0.36152264,0.12537009,0.1260586,0.0002804208
0.5459999999999999,11755.782,-0.35934716,0.12505014,0.1250487,0.00028042268
0.5469999999999999,11778.584,-0.3197036,0.1246973,0.12391807,0.00024983264
0.5479999999999999,11799.384,0.28906757,0.124283075,0.12279801,0.00028045647
0.5489999999999999,11820.607,-184.88219,0.12375372,0.12170156,0.00034138956
0.5499999999999999,11844.733,-409.0024,0.12322251,0.12043614,0.00043297838
0.5509999999999999,10713.362,-621.90424,0.12130634,0.11728663,0.0004939891
0.5519999999999999,9820.97,-772.09064,0.11741379,0.111861624,0.00064662227
0.5529999999999999,9017.61,-888.18195,0.11255453,0.105229475,0.00055501424
0.5539999999999999,8300.3545,-989.91724,0.10709534,0.098039426,0.00052447285
0.5549999999999999,7630.897,-1086.8993,0.10119809,0.0906274,0.00061605265
0.5559999999999999,7212.8496,-1174.1238,0.09495285,0.08286633,0.0006408592
0.5569999999999999,6790.187,-1247.2189,0.08863696,0.075358234,0.00067714835
0.5579999999999999,6222.385,-1329.4773,0.08238671,0.06837499,0.0006465979
0.5589999999999999,5655.586,-1423.4805,0.076342575,0.06185345,0.00064658606
0.5599999999999999,5129.0957,-1529.8092,0.07050377,0.055707026,0.0005856179
0.5609999999999999,4635.4697,-1640.8445,0.06475812,0.049820326,0.0005245714
0.5619999999999999,4161.537,-1753.4972,0.059212975,0.04416452,0.00046342026
0.563,3710.2134,-1871.0365,0.053757995,0.038797237,0.0004939657
0.564,3275.2773,-1989.847,0.04845137,0.033747397,0.0005244417
0.565,2863.7422,-2111.1235,0.04332582,0.028899519,0.00049399084
0.566,2540.9844,-2229.9563,0.03833802,0.024282537,0.00046342256
0.567,2233.0388,-2347.8975,0.033886094,0.01992525,0.00046340682
0.568,1922.545,-2463.5984,0.029698526,0.015943076,0.00046346497
0.569,1601.6824,-2577.366,0.025747186,0.01207634,0.00049401453
0.57,1287.8586,-2690.2288,0.021916358,0.00844052,0.00055489084
0.571,967.57697,-2800.8882,0.018259393,0.0048911963,0.0006197073
0.572,652.0578,-2907.8604,0.014721303,0.0015150358,0.0006159901
0.573,332.34412,-3011.7285,0.011212285,-0.0017745645,0.00058550044
0.574,23.427073,-3111.7842,0.007851155,-0.0051507237,0.0005854935
0.575,-267.79172,-3209.767,0.004519569,-0.008209458,0.00057994586
0.576,-557.14307,-3303.605,0.0013355826,-0.011268186,0.00058545783
0.577,-848.0519,-3392.5476,-0.0018155437,-0.014269231,0.00061604165
0.578,-1127.0221,-3479.9653,-0.004973774,-0.017154798,0.00061595254
0.579,-1406.4681,-3562.2563,-0.00804047,-0.019977223,0.0005549407
0.58,-1671.9889,-3641.309,-0.010900541,-0.022839433,0.0005549468
0.581,-1943.7217,-3714.614,-0.013937402,-0.025580743,0.0004633913
0.582,-2212.8367,-3782.8564,-0.01685597,-0.028524043,0.00037180985
0.583,-2476.9558,-3853.6582,-0.019922901,-0.031409655,0.00024978022
0.584,-2731.077,-3921.1182,-0.022782795,-0.03446839,0.00031080854
0.585,-2970.115,-3987.0598,-0.025612852,-0.037353978,0.00037181049
0.586,-2976.5437,-4030.8801,-0.027914602,-0.04015305,-0.0002689137
0.587,-3015.4946,-4053.4072,-0.030007785,-0.04269236,-8.5823805e-05
0.588,-3038.7527,-4064.6768,-0.031864922,-0.045231666,6.673566e-05
0.589,-2558.99,-4063.569,-0.033753127,-0.048146147,0.00024992987
0.59,-2631.132,-4065.5554,-0.03566906,-0.05056519,0.00034144102
0.591,-2818.7683,-4075.0583,-0.037409432,-0.052931756,0.00043305228
0.592,-3038.4143,-4089.2388,-0.03903039,-0.055100378,0.0005245542
0.593,-3262.9873,-4107.2505,-0.04088841,-0.05700486,0.0004940731
0.594,-3489.4714,-4122.2275,-0.04239226,-0.0590789,0.00046356596
0.595,-3715.0635,-4139.9946,-0.043806788,-0.061160058,0.0004635112
0.596,-3932.1636,-4154.833,-0.045545634,-0.062862515,0.00049397425
0.597,-4150.5903,-4168.929,-0.046962846,-0.06473396,0.0005246368
0.598,-4358.892,-4182.094,-0.048554625,-0.066437036,0.00049409026
0.599,-4566.431,-4193.8594,-0.049972825,-0.068200804,0.00046353095
0.6,-4767.857,-4205.71,-0.05132558,-0.06996099,0.00040249332
0.601,-4968.204,-4214.9214,-0.052829076,-0.07157688,0.00034144195
0.602,-5164.974,-4217.1553,-0.054243423,-0.07319276,0.00031085708
0.603,-5362.727,-4219.9194,-0.055688184,-0.07477612,0.0003413757
0.604,-5560.227,-4223.836,-0.05704444,-0.07628027,0.00034137323
0.605,-5749.3843,-4226.265,-0.05837454,-0.07775197,0.00034161724
0.606,-5938.921,-4226.745,-0.059730344,-0.07925243,0.00031106357
0.607,-6121.911,-4222.6133,-0.06117341,-0.08060488,0.000249904
0.608,-6307.7676,-4216.994,-0.06246964,-0.081993595,0.00024982265
0.609,-6487.5435,-4213.293,-0.06364953,-0.08343638,0.00028037827
0.61,-6656.073,-4206.267,-0.06494751,-0.08476372,0.00034146215
0.611,-6826.389,-4199.385,-0.066155985,-0.08609104,0.00043298563
0.612,-6995.3604,-4190.5273,-0.06739512,-0.08750497,0.00043304398
0.613,-7167.071,-4177.559,-0.06866369,-0.088803455,0.00040258054
0.614,-7337.2417,-4162.823,-0.06984053,-0.09007301,0.00040239145
0.615,-7491.2466,-4149.53,-0.07099226,-0.09134268,0.00036733612
0.616,-7652.2944,-4132.566,-0.07211299,-0.09249309,0.00040255065
0.617,-7814.059,-4119.3135,-0.07326174,-0.093733974,0.0004329828
0.618,-7963.301,-4102.57,-0.07435902,-0.0949207,0.00043309326
0.619,-8112.4243,-4084.905,-0.07553309,-0.096017174,0.00037202478
0.62,-8246.189,-4065.7856,-0.07659516,-0.09714252,0.00031103494
0.621,-8389.129,-4047.1736,-0.077567175,-0.09823898,0.00024992754
0.622,-8532.858,-4028.602,-0.07860011,-0.09933548,0.0001889639
0.623,-8668.732,-4005.4392,-0.07963115,-0.10037423,0.00021941336
0.624,-8804.859,-3983.4036,-0.0806037,-0.1015284,0.00021937993
0.625,-8937.453,-3960.8977,-0.08154735,-0.10256718,0.00021939042
0.626,-9072.54,-3940.9612,-0.08252543,-0.103577115,0.0001889662
0.627,-9198.916,-3918.7502,-0.08349521,-0.104500465,0.0001584938
0.628,-9317.909,-3896.9377,-0.08440837,-0.1054815,0.0001584302
0.629,-9440.71,-3875.6047,-0.08544153,-0.10634714,0.00018903597
0.63,-9554.579,-3852.8135,-0.086329,-0.10727047,0.00025000374
0.631,-9667.018,-3827.6045,-0.08726828,-0.10810362,0.00031101026
0.632,-9774.571,-3805.509,-0.08815145,-0.108968094,0.00034142553
0.633,-9885.882,-3781.1946,-0.0889782,-0.109809615,0.000310996
0.634,-10002.484,-3761.7488,-0.08968569,-0.11067523,0.00028046741
0.635,-10114.448,-3737.525,-0.090541065,-0.11145429,0.00024997303
0.636,-10217.753,-3709.9377,-0.091399856,-0.11231993,0.00028050548
0.637,-10319.008,-3683.5806,-0.09216746,-0.11309898,0.00031101156
0.638,-10412.062,-3657.8445,-0.09295778,-0.113844655,0.0003109311
0.639,-10510.986,-3636.8223,-0.09370384,-0.114628226,0.0003110104
0.64,-10594.068,-3610.889,-0.0945806,-0.115263,0.00018894642
0.641,-10682.148,-3587.8223,-0.09520396,-0.116008356,0.00015837401
0.642,-10766.273,-3563.3252,-0.095936656,-0.11667683,6.6858054e-05
0.643,-10856.645,-3562.9946,-0.096408665,-0.11765788,-2.467628e-05
0.644,-10946.021,-3572.2651,-0.09708636,-0.11826378,3.632591e-05
0.645,-11027.032,-3582.7185,-0.097702466,-0.11898514,5.8491746e-06
0.646,-11103.33,-3591.0188,-0.09832601,-0.11953335,-2.461507e-05
0.647,-11186.473,-3603.0952,-0.09888567,-0.12013925,-5.5173798e-05
0.648,-11264.9,-3605.5107,-0.099504404,-0.12071629,-2.4689276e-05
0.649,-11340.033,-3611.2527,-0.100121856,-0.121206746,-2.4818444e-05
0.65,-11400.159,-3626.017,-0.10068438,-0.12172615,3.638832e-05
0.651,-11464.009,-3645.8782,-0.101273395,-0.12218776,6.6855144e-05
0.652,-11529.814,-3670.8318,-0.10183404,-0.1226494,0.00015844009
0.653,-11599.714,-3688.4316,-0.10233543,-0.123082176,9.7415556e-05
0.654,-11663.443,-3706.324,-0.10286665,-0.12351497,3.6416946e-05
0.6549999999999999,-11719.688,-3725.0728,-0.103397,-0.123947725,6.690573e-05
0.6559999999999999,-11778.247,-3743.2583,-0.10389316,-0.12432719,9.738182e-05
0.6569999999999999,-11838.466,-3764.6997,-0.10437023,-0.124726705,9.743982e-05
0.6579999999999999,-11887.411,-3787.6895,-0.10484207,-0.12507291,9.744579e-05
0.6589999999999999,-11936.033,-3811.2793,-0.10522441,-0.12544794,6.685585e-05
0.6599999999999999,-11973.169,-3835.5793,-0.105662376,-0.12582302,3.6371002e-05
0.6609999999999999,-12014.26,-3859.1587,-0.106105216,-0.12622695,-8.568504e-05
0.6619999999999999,-12055.445,-3884.8376,-0.10652229,-0.12651934,-0.000116209914
0.6629999999999999,-12097.446,-3909.9565,-0.106876545,-0.12683278,-8.566e-05
0.6639999999999999,-12139.505,-3935.5962,-0.10731809,-0.12712125,-8.571492e-05
0.6649999999999999,-12174.382,-3963.65,-0.10770265,-0.12740977,-8.562236e-05
0.6659999999999999,-12207.471,-3991.9653,-0.10805574,-0.12766938,-8.567657e-05
0.6669999999999999,-12239.197,-4022.0046,-0.10840917,-0.12792902,-0.00011622308
0.6679999999999999,-12270.217,-4054.1943,-0.108763196,-0.12813094,-0.000116208284
0.6689999999999999,-12294.287,-4084.88,-0.109146535,-0.12836172,-8.568875e-05
0.6699999999999999,-12314.066,-4116.077,-0.109442405,-0.12859252,-5.5096094e-05
0.6709999999999999,-12332.108,-4150.3413,-0.109677196,-0.12879442,1.0101106e-05
0.6719999999999999,-12350.858,-4187.9805,-0.10997368,-0.12905408,6.7013025e-05
0.6729999999999999,-12370.162,-4221.695,-0.11026755,-0.12931369,3.6423033e-05
0.6739999999999999,-12398.328,-4253.212,-0.11053276,-0.12948675,3.6411573e-05
0.6749999999999999,-12418.106,-4291.7104,-0.11079821,-0.12968868,5.899752e-06
0.6759999999999999,-12427.749,-4326.684,-0.1110635,-0.12986173,3.6410773e-05
0.6769999999999999,-12443.66,-4361.065,-0.11129975,-0.13000594,9.7473625e-05
0.6779999999999999,-12457.845,-4396.396,-0.11159412,-0.13015014,6.6918634e-05
0.6789999999999999,-12466.27,-4328.197,-0.111771226,-0.13032322,5.8985615e-06
0.6799999999999999,-12466.875,-4236.924,-0.1119794,-0.13043861,-2.4487534e-05
0.6809999999999999,-12466.483,-4145.323,-0.1121839,-0.13058278,-0.00011618185
0.6819999999999999,-12472.438,-4053.9429,-0.11239269,-0.13061519,-0.0002075586
0.6829999999999999,-12478.939,-3965.91,-0.1125083,-0.13069804,-0.00017223562
0.6839999999999999,-12481.786,-3880.6543,-0.1126261,-0.13069797,-0.00017722533
0.6849999999999999,-12485.913,-3799.471,-0.11277462,-0.13081335,-0.00017267889
0.6859999999999999,-12485.095,-3720.4536,-0.11286169,-0.13084207,-0.00017724794
0.6869999999999999,-12481.649,-3644.6423,-0.113040276,-0.1308132,-0.00023815942
0.688,-12474.04,-3569.9756,-0.113102734,-0.13078421,-0.00023824935
0.689,-12463.995,-3497.7917,-0.11324634,-0.1307553,-0.00020766893
0.69,-12452.349,-3429.1648,-0.11333019,-0.13070133,-0.00014668415
0.691,-12439.722,-3360.2297,-0.11339276,-0.13066855,-0.00011619103
0.692,-12421.886,-3295.1206,-0.113510504,-0.13055305,-2.4653891e-05
0.693,-12412.665,-3230.4094,-0.11351077,-0.13046642,-5.5152257e-05
0.694,-12407.387,-3166.642,-0.11359926,-0.13037977,-8.566823e-05
0.695,-12391.04,-3105.9343,-0.11362908,-0.13032198,-0.00011616257
0.696,-12373.045,-3045.8452,-0.11359963,-0.1301776,-8.564324e-05
0.697,-12357.856,-2987.9365,-0.11365911,-0.1301487,-2.4571698e-05
0.698,-12335.989,-2930.8633,-0.11362931,-0.13000862,-5.5113524e-05
0.699,-12310.886,-2875.7747,-0.11362929,-0.1298888,-8.563339e-05
0.7,-12280.636,-2822.1802,-0.11365828,-0.12971559,-0.000116188785
0.701,-12255.179,-2770.4827,-0.113628946,-0.12960008,-0.0002077313
0.702,-12228.22,-2719.8892,-0.113599904,-0.12936917,-0.00026873453
0.703,-12210.9375,-2671.0776,-0.11351125,-0.12913823,-0.00020771481
0.704,-12192.718,-2624.2585,-0.113482155,-0.1288496,-0.00020768718
0.705,-12164.571,-2578.6213,-0.11336485,-0.12856098,-0.00020764166
0.706,-12134.914,-2539.966,-0.11333488,-0.12824345,-0.00029923223
0.707,-12104.8,-2504.1953,-0.11315724,-0.12783936,-0.00036032195
0.708,-12078.41,-2471.2434,-0.112951174,-0.12740643,-0.00032978144
0.709,-12045.15,-2439.9978,-0.11280444,-0.1268581,-0.0003297315
0.71,-12006.487,-2413.95,-0.11259791,-0.12639631,-0.0003297429
0.711,-11970.771,-2386.3047,-0.11239145,-0.12587681,-0.00014664403
0.712,-11933.853,-2359.8193,-0.112159304,-0.12529956,-0.0001467118
0.713,-11907.78,-2333.9832,-0.11197855,-0.12472238,-0.000146654
0.714,-11876.277,-2308.064,-0.11168333,-0.124174014,-0.00017720042
0.715,-11841.502,-2283.59,-0.11144815,-0.12362568,-0.00020766839
0.716,-11801.93,-2257.9507,-0.111212544,-0.123019606,-0.00017713141
